,gametime,role,lane,champ,win,duration,dpm,gpm,cpm
63,15/11/2020 05:32:11,NONE,JUNGLE,Urgot,False,25.5,0.24,365.02,6.2
64,12/11/2020 22:24:54,SOLO,TOP,Urgot,False,32.6,0.25,313.68,4.82
65,10/11/2020 21:42:21,SOLO,TOP,Urgot,True,37.15,0.27,373.7,4.25
66,07/11/2020 22:52:22,SOLO,TOP,Urgot,True,24.633333333333333,0.08,399.78,6.01
67,06/11/2020 21:05:00,DUO,MIDDLE,Urgot,False,27.533333333333335,0.22,383.39,5.56
68,04/11/2020 22:02:54,SOLO,TOP,Urgot,True,20.15,0.15,354.59,4.57
69,04/11/2020 00:51:28,SOLO,TOP,Urgot,True,29.3,0.2,501.57,5.36
70,03/11/2020 23:42:57,SOLO,TOP,Urgot,False,22.566666666666666,0.31,261.89,4.34
71,01/11/2020 22:18:06,SOLO,TOP,Urgot,True,24.0,0.08,437.54,6.5
72,01/11/2020 19:14:36,DUO,TOP,Urgot,True,28.866666666666667,0.17,367.52,4.02
73,31/10/2020 00:32:18,SOLO,TOP,Urgot,False,44.61666666666667,0.18,405.7,5.42
74,30/10/2020 22:24:35,SOLO,TOP,Urgot,False,31.133333333333333,0.26,329.1,6.68
75,28/10/2020 21:55:22,SOLO,TOP,Teemo,False,31.616666666666667,0.25,322.9,5.31
76,26/10/2020 20:31:31,SOLO,TOP,Urgot,True,43.13333333333333,0.16,412.02,5.77
77,26/10/2020 19:27:28,SOLO,TOP,Urgot,True,20.6,0.0,359.61,5.19
78,25/10/2020 10:25:24,SOLO,TOP,Urgot,False,45.15,0.27,401.53,5.85
79,25/10/2020 09:55:46,NONE,JUNGLE,Urgot,False,23.183333333333334,0.09,310.61,6.6
80,24/10/2020 22:23:28,SOLO,TOP,Urgot,False,25.016666666666666,0.32,279.01,4.72
81,24/10/2020 21:28:01,DUO_SUPPORT,MIDDLE,Urgot,False,28.083333333333332,0.25,350.56,4.77
82,24/10/2020 13:36:53,SOLO,TOP,Urgot,False,27.333333333333332,0.18,322.72,6.99
83,24/10/2020 12:57:32,SOLO,TOP,Urgot,True,30.6,0.23,444.38,6.31
84,22/10/2020 19:35:32,SOLO,TOP,Urgot,True,27.416666666666668,0.15,404.94,5.91
85,22/10/2020 19:03:22,DUO,TOP,Urgot,False,25.483333333333334,0.24,302.16,5.38
86,20/10/2020 21:04:09,SOLO,TOP,Urgot,False,24.016666666666666,0.33,371.95,5.0
87,18/10/2020 14:24:09,DUO,MIDDLE,Urgot,True,41.46666666666667,0.12,394.56,5.31
88,18/10/2020 10:31:30,SOLO,TOP,Urgot,False,31.966666666666665,0.16,378.02,5.51
89,18/10/2020 07:15:31,NONE,JUNGLE,Urgot,False,37.21666666666667,0.24,363.39,4.14
90,18/10/2020 06:37:14,NONE,JUNGLE,Urgot,False,29.5,0.2,335.32,4.61
91,18/10/2020 06:11:23,SOLO,TOP,Urgot,True,20.266666666666666,0.2,324.77,5.43
92,17/10/2020 19:04:07,SOLO,TOP,Urgot,False,25.55,0.27,384.11,4.62
93,17/10/2020 14:27:30,SOLO,TOP,Urgot,True,36.166666666666664,0.08,381.04,4.84
94,17/10/2020 13:52:40,SOLO,TOP,Urgot,False,25.416666666666668,0.08,397.34,6.73
95,17/10/2020 10:00:44,SOLO,TOP,Urgot,True,21.0,0.14,312.38,4.24
96,15/10/2020 22:10:30,SOLO,TOP,Urgot,False,24.266666666666666,0.33,274.95,4.45
97,15/10/2020 21:32:09,SOLO,TOP,Urgot,False,32.96666666666667,0.3,288.41,3.34
98,14/10/2020 19:59:13,SOLO,TOP,Urgot,False,29.35,0.24,317.07,5.72
99,13/10/2020 22:28:35,SOLO,TOP,Garen,False,31.183333333333334,0.26,299.29,3.01
